#time,accel_x,accel_y,accel_z
7129.817960,421.136778,459.421939,-9839.286531
7129.820511,555.134843,689.132909,-9781.858789
7129.823062,459.421939,861.416136,-9877.571693
7129.825613,421.136778,612.562586,-9896.714274
7129.828164,497.707101,631.705166,-9762.716208
7129.830715,478.564520,823.130974,-9781.858789
7129.833265,478.564520,631.705166,-9896.714274
7129.835816,382.851616,650.847747,-9801.001370
7129.838367,478.564520,650.847747,-9801.001370
7129.840918,516.849682,1186.840010,-9724.431046
7129.843469,1569.691626,325.423874,-9839.286531
7129.846020,153.140646,995.414202,-9647.860723
7129.848571,3426.521963,497.707101,-9877.571693
7129.851122,4728.217458,784.845813,-9686.145885
7129.853672,-421.136778,-133.998066,-10088.140082
7129.856223,-1110.269686,1722.832272,-9494.720077
7129.858774,133.998066,114.855485,-9992.427178
7129.861325,2584.248408,746.560651,-9858.429112
7129.863750,2756.531635,612.562586,-9647.860723
7129.866174,153.140646,1837.687757,-10068.997501
7129.868599,1110.269686,-1320.838075,-9647.860723
7129.871024,-3885.943902,1397.408398,-9418.149754
7129.873448,-1875.972918,2852.244539,-10528.419440
7129.875873,3732.803256,-2220.539373,-10470.991698
7129.878298,-229.710970,3062.812928,-8767.302006
7129.880722,-918.843878,-2029.113565,-10107.282662
7129.883147,-153.140646,2737.389054,-9667.003304
7129.885572,-4460.221326,478.564520,-10738.987829
7129.887996,1569.691626,-880.558717,-9724.431046
7129.890421,3598.805190,2794.816797,-9111.868461
7129.892845,-918.843878,-631.705166,-10662.417506
7129.895270,-2603.390989,1052.841944,-9456.434915
7129.897695,-1952.543242,1225.125171,-9513.862658
7129.900119,1339.980656,76.570323,-10624.132344
7129.902544,1148.554848,1493.121302,-9667.003304
7129.904969,-248.853550,-191.425808,-9858.429112
7129.907393,-172.283227,574.277424,-9341.579430
7129.909818,669.990328,1320.838075,-9647.860723
7129.912243,-401.994197,363.709035,-10509.276859
7129.914667,-1761.117434,1225.125171,-9877.571693
7129.917092,-1263.410333,1244.267752,-9073.583299
7129.919517,1186.840010,-114.855485,-10049.854920
7129.921941,1225.125171,1665.404530,-9858.429112
